sample	fastq_reads	bam_reads	dedup_bam_reads
BLA-1771	15771281	19068630	13499299
DRN-1730	17125186	22473842	14731309
Hb-1744	16586690	19551432	14761057
Ins-1787	13919118	16630222	12196215
Ins-1788	20384032	24611697	17547653
NAc-1767	15174163	19422920	13419725
NAc-1776	16034672	19535825	14295957
VTA-1787	15787253	19601191	13767053
