sample	fastq_reads	bam_reads	dedup_bam_reads
BLA-1771	15771281	11077657	11076411
DRN-1730	17125186	11498856	11497478
Hb-1744	16586690	12437721	12436327
Ins-1787	13919118	10152263	10151175
Ins-1788	20384032	14444175	14442613
NAc-1767	15174163	10748210	10746971
NAc-1776	16034672	11831414	11830199
VTA-1787	15787253	11094217	11093027
